MGI symbol,430AV2_NonAstro_Enrich,430AV2_NonAstro_Hedges_g,430AV2_NonAstro_Var_g,430AV2_NonAstro_SEg
Ercc5,-0.22218499999999963,-1.0776292301707655,0.7076605947148047,0.8412256502953323
Ercc6l,0.0904499999999997,0.16615815163661513,0.5659510664194121,0.7522971928828474
Ercc6l2,-0.10360624999999984,-0.34013969582669656,0.8304316356004955,0.9019518938223745
Ercc8,-0.06382118421052688,-0.09846056964759761,0.6367834298359447,0.7973008175506816
Ereg,0.11824999999999974,3.0971326254329075,1.7615288124401167,1.3272259839379716
Erf,-0.15051999999999977,-0.29306699078686416,0.5962031313446274,0.7718738677362182
Erg,0.1803600000000003,0.35502467710684366,0.5782553151693522,0.7604310061861971
Ergic1,-0.010171249999999965,-0.09275830223946797,0.6206935310624835,0.7875179238870295
Ergic2,0.7018491666666679,3.4133004561710067,2.7380998664501597,1.5090049094166196
Ergic3,0.22606000000000037,0.4323972756748604,0.5858709255013802,0.7654220571040399
Erh,-0.08064500000000052,-0.3202303281326472,0.5753184328819928,0.7584974837677398
Eri1,-0.033272499999999816,-0.7012178835247902,1.3053730207727061,1.1280332594081868
Eri2,0.18095931818181865,0.6470613465528522,0.8042437818320163,0.8845675589102455
Eri3,0.18681100000000014,0.7157354520936359,0.7802753331855766,0.8713560734313454
Erlec1,-0.26433142857142883,-1.9508560967146598,1.1911778639295552,1.0584888603758746
Erlin1,-0.1580760000000005,-0.2743554601480304,0.5730962847302135,0.7570201300526879
Ermap,0.003675000000000317,0.009122600245964705,0.562510402729406,0.7500069351208734
Ermp1,-0.28219499999999975,-0.44087422978967183,0.5867962608115795,0.7660262794523303
Ern1,0.4006124999999998,4.471745587589831,3.9187492257093184,1.8708823775751608
Ern2,-0.16175999999999924,-0.8214039797521642,0.6468380622440868,0.8042624336894562
Ero1l,0.22268833333333404,0.8938497654096901,0.8113889998922348,0.8878663214006898
Ero1lb,-0.1150000000000005,-0.12383977710813603,0.5683049043895774,0.7538512867936327
Erp29,-0.06883999999999979,-0.2792023097545122,0.5722442412215318,0.7564682684829099
Erp44,-0.16093800000000053,-0.08589973969365694,0.6206236186985065,0.7877768304187303
Errfi1,0.31961499999999887,1.725734948176155,0.9347701389195696,0.9668351146496333
Erv3,1.9518449999999996,0.9418093547597224,0.6733756075891156,0.8205946670489125
Esam,0.19858999999999938,0.24781811511758944,0.5701767272725543,0.7551004749518797
Esco1,0.2682899999999995,1.3250078075747351,0.8999766949229805,0.9428198629730963
Esd,0.07713000000000036,1.7587821920129687,0.9491643498677426,0.9742506606965903
Esf1,0.16951000000000072,1.2606901064799505,0.7611674430720535,0.8724491062933434
Esm1,0.11874500000000054,0.6558846416691912,0.6162730828971904,0.7850306254517657
Espn,-0.2629600000000005,-1.5845216753734686,0.8763386174660431,0.9361295943757161
Esr1,0.19405499999999876,1.5247904641206345,0.8531232449341528,0.9236467100218312
Esr2,0.13846500000000006,0.43327919638219575,0.5859663577522002,0.7654843941924617
Esrp1,-0.3940849999999996,-5.048459915016162,3.748368439190623,1.9360703600826659
Esrp2,0.12697999999999965,0.3088770564436897,0.5744256294996648,0.7579087210869557
Esrra,-0.32088500000000053,-0.5828202112716132,0.6049599248333359,0.7777916975857585
Esrrb,0.14876999999999976,0.39914039429442116,0.5826741127219953,0.7633247433718864
Esrrg,-0.4678249999999995,-2.0583917701612062,1.092122084933423,1.0450464510888609
Esx1,-0.34329500000000124,-2.4395620318727538,1.3064328634193898,1.142992941106545
Esyt1,-0.45882500000000004,-0.7819058360422795,0.6389220920546219,0.7993260236315479
Esyt3,0.1990450000000008,0.29128415947881214,0.5731058076954098,0.757037520665528
Etaa1,0.67354,4.026110123958519,2.58869534128016,1.6089423051434006
Etf1,-0.03268249999999995,-0.08614449371462246,0.5760852329856719,0.7589893616049371
Etfa,0.04121500000000111,0.3746999686887853,0.5800500083169221,0.7616101419472577
Etfb,-0.43466000000000093,-3.921376353596722,2.484649063318441,1.5762769627570026
Etfdh,0.07985000000000042,0.24780094923052154,0.5701756638049434,0.7550997707620785
Ethe1,0.6488600000000009,2.2610825802850334,1.201561804358553,1.0961577461107288
Etl4,0.0444988888888883,1.4920544836832688,0.9333341460352756,0.9647468764484969
Etnk1,-0.03529500000000141,0.10864791357011436,0.7756985630749845,0.8805087227643583
Etos1,-0.33211499999999994,-2.228641813411376,1.1833555415606933,1.0878214658484606
Ets1,-0.15177500000000008,-0.2885051358156254,0.6057101110860247,0.7776296594969213
Ets2,0.5408349999999995,2.109521240175213,1.118759982843796,1.0577145091393028
Etv1,-0.0028665384615382304,0.05120097949590739,0.5937048528948943,0.7705195649035125
Etv2,0.029119999999999813,0.061566148088347206,0.5629737988238045,0.7503157993963638
Etv3,0.08925333333333363,0.23279324516828132,0.6073773357105623,0.7793032285356009
Etv4,-0.19252499999999984,-0.17192034350544033,0.5661945755638786,0.7524590191923269
Etv5,0.2791549999999994,1.5124330670324821,0.84843172278166,0.9211035353214426
Etv6,0.5188250000000005,0.9258536986381085,0.6696506339102332,0.8183218400545308
Eva1a,0.48446500000000015,1.6080979637636996,0.8857473826326195,0.941141531669185
Eva1c,0.8616100000000003,5.08822039637323,3.798748350258569,1.9490378011363887
Evc,-0.17905250000000006,-0.23918538122947208,0.5721481912034949,0.7563841484361079
Evi2a,-0.27023999999999937,-1.663850715479267,0.9085499004251087,0.9531788396859786
Evi2b,-0.059966000000000096,-0.353922655460757,0.5783963602443409,0.7605196984276462
Evi5,-0.038479444444444705,-0.2885647291083998,0.638246549460087,0.7986107787289323
Evl,-0.09204249999999892,-0.6854870133281744,0.6237334383593347,0.7896190346638599
Evpl,-0.09070499999999893,-0.5892886471378458,0.6059076387056941,0.7784006928990326
Evx1,-0.05343000000000142,-0.1026021763768753,0.563815900824659,0.750876754750511
Evx2,-0.05586499999999983,-0.2696085814745174,0.5715860984005877,0.7560331331367612
Ewsr1,-0.11811000000000149,-0.3633271362964854,0.5790008259961756,0.7609210379508348
Exd2,-0.0934500000000007,-0.1604868166703879,0.5657195022906244,0.7521432724492219
Exo1,-0.14685250000000005,0.414015461982546,0.7100766112897774,0.8403865029098099
Exoc1,0.1346650000000018,0.6497124701899162,0.6152657867400353,0.7843887981989769
Exoc4,-0.009367499999999484,0.42383619916849413,0.7286948024756856,0.8393154992947902
Exoc6,-0.04377500000000012,-0.36898349138196096,0.5795186021140527,0.7612611917824609
Exoc7,-0.29952499999999915,-3.830553323050032,2.3966423450912058,1.5481092807328576
Exoc8,-0.1056550000000005,-0.8633425015122422,0.655670034364677,0.8097345456164489
Exosc1,-0.5183375000000003,-0.8453081125798925,0.660671118667294,0.8120788704868733
Exosc10,-0.0426508823529414,-2.0676148802502197,2.109243577337025,1.3500957792131423
Exosc2,0.10110000000000063,0.3012474801820887,0.5738437555395073,0.7575247557271692
Exosc4,-0.031122999999999124,-0.3743620717999404,0.7102665093867417,0.8382849673115306
Exosc5,0.3600249999999994,1.0916362811394695,0.7114587212875014,0.8434801250103653
Exosc7,0.09851000000000099,0.4210254819414919,0.5846578070555082,0.764629195790684
Exosc8,-0.010779999999999568,-0.020851582209676714,0.5625543485600808,0.7500362314982395
Exosc9,-0.13329999999999842,-0.7292214543074304,0.6289704911777805,0.7930765985563945
Ext1,-0.49998000000000076,-1.1757706963756676,0.7353045913069653,0.8574990328315043
Ext2,-0.7277300000000002,-0.9991713181540623,0.6872929153777158,0.8290313114579665
Extl1,-0.0897799999999993,-0.34172414847694155,0.5770969242065362,0.7596689569849069
Extl2,0.048225000000000406,0.18179715359733192,0.570137814808583,0.7550578818491438
Extl3,0.24047749999999812,2.755281174247771,1.6422163313517313,1.2501249847645362
Eya1,0.307430000000001,0.639349952498796,0.6135960452200265,0.7833237167480802
Eya2,-0.17228499999999958,-0.1950534988174163,0.5672557334251145,0.7531638157964803
Eya3,-0.06971658536585415,-0.14229530832293502,0.5658529025738254,0.7522295708930337
Eya4,0.2850999999999999,0.4104264117555302,0.583556229933315,0.7639085219666782
Ezh1,-0.1012792857142859,-0.41950398912963643,0.6863659629577256,0.8211966473759954
Ezh2,-0.05354500000000062,-0.08458432735047824,0.5633943135541666,0.7505959722474979
Ezr,0.3611300000000002,1.1518968204271447,0.7283582856137707,0.8534390930897007
F10,0.0022049999999997163,0.08822834097275704,0.5755051083859799,0.7586197372812387
F11,-0.09729000000000054,-1.2001189237813112,0.7425356789022516,0.8617050997309066
F11r,0.3247749999999998,1.0161167782994114,0.6915616633926969,0.8316018659146316
F12,-0.12242499999999978,-0.694570125355654,0.6228034573795711,0.7891789767724247
F13a1,0.4629599999999998,1.0769241343952647,0.7074706989053738,0.8411127741898667
F13b,0.0834950000000001,0.24061300433743477,0.5697368272320358,0.7548091329813358
F2,0.0708050000000009,0.15483450322512315,0.5654967154236212,0.7519951565160651
F2rl1,-0.20034499999999955,-2.5730876631027626,1.3900975152514545,1.179023967208239
F2rl2,0.8404499999999997,2.6685670441474487,1.4526562586387315,1.2052619045828719
F2rl3,-0.1468250000000002,-0.6636371791607454,0.6175517881955539,0.785844633623946
F3,0.5600299999999994,0.7570463450047489,0.6341398960606313,0.7963290124443736
F5,-0.4619025000000001,-0.9640617426906604,0.7121312325415308,0.8406134771178961
F7,0.04769500000000004,0.212179117134844,0.5681274972185152,0.7537423281324429
F8,1.2904249999999995,4.367983051213962,2.947409491961554,1.7168021120564694
F8a,0.5584000000000007,2.9584534753077705,1.6565558706950783,1.2870725972900978
F9,-0.06337999999999955,-0.1593030541454135,0.5656721828825071,0.7521118154121148
Fa2h,-0.18599000000000032,-0.47094267685485286,0.5902233756104018,0.7682599661640594
Faah,-0.17596999999999952,-0.4199749777477332,0.5845473727417759,0.7645569780871639
Fabp1,0.06087749999999992,0.05929647076175834,0.5700477307753267,0.7550114239248514
Fabp2,0.22479000000000005,0.44239271789418405,0.5869639146057255,0.7661357024742584
Fabp3,-0.24506999999999834,-2.573978277392957,1.3906705215613517,1.1792669424525355
Fabp3-ps1,-0.24506999999999834,-2.573978277392957,1.3906705215613517,1.1792669424525355
Fabp4,-0.5261000000000005,-2.900194037259811,1.8081694732832934,1.2988825134585769
Fabp5,-0.1694375000000008,-1.6838504755554318,1.0889002427054606,1.0147439252831896
Fabp5l2,-0.1409400000000005,-0.5108843560040479,0.5951253531512088,0.7714436811272802
Fabp6,0.046159999999999535,0.14369246507648875,0.5650809405649697,0.7517186578534351
Fabp7,-0.1663200000000007,-0.4821473085021778,0.5915582533869868,0.7691282424842991
Fabp9,-0.040830000000000144,-0.15436576701971555,0.5654785987534481,0.751983110683643
Fadd,-0.19163500000000155,-0.24782053094709094,0.5701768769448622,0.7551005740594178
Fads1,0.24760000000000026,8.106483326787387,8.776883990935238,2.9625806302842186
Fads2,-0.6243299999999996,-5.027772400666851,3.722311914113414,1.9293293949228614
Fads3,0.25548249999999983,0.6998000311326242,0.7216675128858321,0.8445477024443954
Faf1,-0.2257049999999996,-2.7304612066128695,1.4944273001022257,1.2224677092268024
Fah,-0.03146500000000074,-0.06414954441934695,0.5630143955061513,0.7503428519724509
Fahd1,-0.23460999999999999,-0.37002650927947056,0.5796149521961937,0.7613244723481531
Faim,0.06142499999999984,0.21039042403027755,0.568033016315455,0.7536796509893676
Fam101b,-0.5932149999999989,-2.297921929507139,1.2225556492637264,1.1056923845553637
Fam102a,-0.1997049999999989,-0.34085953821076254,0.5770231530986567,0.7596204006598669
Fam103a1,0.038165000000001115,0.7949448792904925,0.6414921701387719,0.8009320633729006
Fam104a,-0.08048833333333387,-0.023541992250115367,0.8234446584141417,0.9013593929557909
Fam105a,-0.5611350000000002,-0.6498194301368809,0.6152831614729276,0.7843998734529013
Fam105b,-0.22013500000000086,-0.7675411091410623,0.6361399192776864,0.7975838007869057
Fam107b,0.23182409090909092,0.5870759210189701,0.6901309186112674,0.8304759519715117
Fam109b,0.4242050000000006,0.7764182091522056,0.6378531544378898,0.7986570944015271
Fam110a,-0.21010499999999954,-0.389029995083642,0.5814180421343473,0.7625077325079054
Fam110c,0.2593675000000002,0.6677473367748605,0.6445422032115811,0.8014108260786664
Fam111a,-0.8066900000000006,-0.5135448000733661,0.5954660327102992,0.7716644560366243
Fam114a1,-0.34998500000000066,-0.6150569325421448,0.7012146128364963,0.8336629635099555
Fam114a2,0.07934799999999989,0.5609149328011125,0.646751331731521,0.8031446467733525
Fam115c,-0.02925999999999984,-0.14051845283074957,0.5649681794482435,0.7516436519044404
Fam117a,-1.3778200000000007,-1.8315961569512327,0.9818430602698154,0.9908799424096824
Fam117b,-0.14690500000000029,-1.8975062880471225,1.0125662641472961,1.0062635162557054
Fam118a,0.14297499999999985,0.43882405934292834,0.5865708193822757,0.7658791153845859
Fam118b,0.20714000000000077,0.26764670977535787,0.571454345156697,0.7559459935449733
Fam120a,-0.015119999999999578,0.4702895250694237,0.6849749506981422,0.8221853365110801
Fam120b,0.09950500000000062,0.47310218670653054,0.5904782098833126,0.7684257998553358
Fam122a,-0.034905000000001074,-0.18738361183248636,0.5668890772479236,0.7529203658076488
Fam126a,-0.010609999999999786,-0.03592171145448754,0.5626612961692273,0.7501075230720109
Fam126b,0.4230850000000004,4.315747738198113,2.8907098174702663,1.700208757026697
Fam129a,0.18348999999999993,0.278919303172219,0.5722244972102596,0.7564552182451117
Fam129b,0.16188000000000002,0.7979251304033927,0.6420855642161589,0.8013024174530855
Fam131a,-0.007580000000000808,-0.08269127167585393,0.5633547308014212,0.7505696042349578
Fam132a,-0.39724470588235306,-0.8094072966163237,0.7041082886271514,0.8336314875014378
Fam133b,0.08322499999999877,0.3375021308575311,0.5767384610416717,0.7594329865377667
Fam134a,0.17016999999999882,1.6880306735176753,0.918680944342067,0.9584784527270642
Fam134b,0.11350600000000063,0.3187054303675255,0.575721164933777,0.7587546647361368
Fam134c,-0.045878823529411236,-0.1296215974461805,0.5650640799361584,0.7517062321401993
Fam136a,-0.18245500000000092,-2.8094503477553516,1.5491264070628332,1.2446390669840126
Fam13c,0.2817899999999991,2.3962187344353585,1.2802330279073741,1.1314738299701739
Fam149b,0.0697100000000006,0.09548100557109243,0.5636395778031084,0.7507593341431782
Fam151a,-0.49893000000000054,-3.5829467707800533,2.1671884452804013,1.4721373731008942
Fam160a2,-0.18313666666666606,-0.5908999259469855,0.7654347692968577,0.8743294253907865
Fam160b1,0.23786500000000022,0.5661845530572293,0.6026046828473195,0.776274705054392
Fam161a,0.7357400000000007,1.2422908786674656,0.7554108284025478,0.8691437328788305
Fam162a,-0.048134999999998485,-0.13787988474617224,0.5648763578272022,0.7515825688686522
Fam166a,0.12837500000000013,0.7160419892267265,0.6265895162919709,0.7915740750504471
Fam167b,-0.08272000000000013,-0.2966516893486898,0.5735002780991789,0.7572980114190047
Fam169a,-0.038950000000001594,-0.23566896529874604,0.5694424826506227,0.754614128313685
Fam173a,-0.21450999999999887,-0.9114626759045422,0.6663455261958836,0.8162998996667117
Fam174a,-0.02075750000000065,0.5683649248055227,0.6993611434634264,0.8329137982921994
Fam174b,0.02580999999999989,0.3059285199200831,0.5741990324125615,0.7577592179660776
Fam178a,0.6124550000000015,1.9728644444499261,1.0490242645218395,1.0242188557734326
Fam181b,-0.5392399999999995,-1.5949784005515548,0.8804945122782495,0.9383466908761652
Fam187a,0.024784999999999613,0.07861074659630365,0.5632724561850535,0.7505147941147153
Fam188a,-0.0343,-0.2453962564953753,0.570027415337743,0.7550015995597247
Fam189b,0.13748499999999986,1.0633965951442574,0.70385153982055,0.8389586043545593
Fam192a,0.01843000000000039,0.1151706397325983,0.564158034532052,0.7511045430111923
Fam193b,1.3519000000000005,2.5408960586096057,1.3695190975822287,1.1702645417093644
Fam195a,0.81759,0.9490873178213971,0.6750958421061768,0.8216421618357816
Fam195b,-0.4263900000000005,-1.6557912887925408,0.905205599005158,0.9514229338234169
Fam198b,-0.38833500000000054,-0.5116361608485989,0.5952214451359866,0.7715059592355633
Fam19a5,-0.014110000000000511,-1.1141555549454938,0.8901997206728405,0.9268415321250871
