MGI symbol,430AV2_HypoT_9h_Enrich,430AV2_HypoT_9h_Hedges_g,430AV2_HypoT_9h_Var_g,430AV2_HypoT_9h_SEg
Gm6043,-0.1487340000000028,-1.7210031136636037,0.48420369697310206,0.6958474667433244
Gm6054,0.1424460000000014,0.5592193443443474,0.3517474248655572,0.5930829831191898
Gm6055,0.1424460000000014,0.5592193443443474,0.3517474248655572,0.5930829831191898
Gm6061,-0.1487340000000028,-1.7210031136636037,0.48420369697310206,0.6958474667433244
Gm6088,-0.08750599999999942,-0.3832379476375822,0.3434546773365844,0.5860500638482897
Gm6100,-0.4162339999999993,-1.8212442672319775,0.5019576451573782,0.7084896930495024
Gm6104,-0.3070859999999982,-0.987448662436529,0.3848638541584956,0.6203739631532706
Gm6113,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm6121,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm6132,-0.1347480000000001,-0.8793121154925655,0.3747706009337116,0.6121851034888971
Gm6136,-0.18183999999999934,-0.8413643648686189,0.3715058108346498,0.6095127651121425
Gm6139,-0.24173000000000044,-0.9016164822293091,0.37688985632590977,0.6139018637161932
Gm6153,0.26873400000000025,0.8886387722496,0.37559505448837494,0.6128581030616915
Gm6155,-0.20552999999999777,-0.8146362077983658,0.36929271866391616,0.6076945932488754
Gm6158,-0.05689399999999978,-0.2448932654338131,0.33910974668385285,0.5823313031976324
Gm6161,0.16353499999999999,0.5788806942257599,0.3576637573635271,0.5978619169727343
Gm6166,-0.4207699999999992,-1.685905351236097,0.4791407848865834,0.6920036082970362
Gm6169,-0.12789600000000156,-0.688564956004824,0.3598171960430073,0.5998476440255537
Gm6180,0.18267799999999923,0.4704813245462667,0.3471787449484516,0.5892187581437404
Gm6206,0.06127200000000066,0.5456423947808002,0.3509973922602174,0.5924503289392432
Gm6211,0.0737620000000021,0.9532437062847207,0.3815447892896826,0.617693119024069
Gm6222,-0.09280799999999978,-0.3073750615318204,0.3408350825336956,0.583810827694807
Gm6223,-0.08974700000000135,-0.35785949862403,0.36343645673160696,0.6025508001303385
Gm6226,0.07646399999999964,0.7671980693124226,0.36554075498894656,0.6045996650585795
