MGI symbol,430AV2_WB_D2_Enrich,430AV2_WB_D2_Hedges_g,430AV2_WB_D2_Var_g,430AV2_WB_D2_SEg
4833420G17Rik,0.10065333333333326,0.2520865166692449,0.48770127956796544,0.698350381501403
4833439L19Rik,0.10377666666666485,1.072986574258602,0.5776083490449341,0.7600054927728708
4921524J17Rik,0.01964333333333368,0.03555318397499782,0.4817720024075633,0.694097977527354
4921530L21Rik,0.08033666666666672,0.846238154497566,0.5413432511772871,0.7357603218285742
4921536K21Rik,0.03224333333333318,0.514582472450138,0.5037329267460747,0.7097414506326052
4922502D21Rik,-0.07891000000000048,-0.5054643115816478,0.502957847523559,0.7091952111538536
4930427A07Rik,0.1491066666666656,1.4193701643553855,0.6495509719551861,0.8059472513478696
4930429B21Rik,-0.04163333333333519,-0.24248297380204678,0.48656649938199026,0.6975431881840652
4930430A15Rik,0.08908333333333296,1.6521412157817925,0.7091308830737448,0.8420990933813816
4930430F08Rik,-0.0706666666666651,-0.1726441113047087,0.4841504990973493,0.6958092404512528
4930433N12Rik,-0.10286333333333353,-1.74540553732772,0.7355367074778554,0.8576343670107066
4930441O14Rik,-0.04119666666666699,-0.6124854666363398,0.5129282039033946,0.7161900612989506
4930444A02Rik,-0.06021000000000054,-0.31127351444684803,0.4897409333996743,0.6998149279628681
4930449I24Rik,0.0512766666666673,0.32611443105655114,0.4905292185119448,0.7003779112107583
4930453N24Rik,0.0638807407407411,0.348297492258093,0.49404882500817937,0.7028563350975614
4930470P17Rik,0.026356666666666584,0.24873308635348917,0.48682234568724425,0.6977265550967974
4930474H06Rik,-0.006933333333333902,-0.04530374227379501,0.4818377024220008,0.6941453035366593
4930483J18Rik,-0.0482066666666654,-0.325058924747018,0.4904719420464739,0.7003370203312644
4930500M09Rik,0.31674333333333315,0.8887533088438186,0.5474902036650696,0.7399258095681415
4930507D05Rik,-0.0411516666666667,-0.8169052081994266,0.6108653882874568,0.7772329737488398
4930520O04Rik,0.02599000000000018,0.5365490922331103,0.5056570773646811,0.7110956879103411
4930524B15Rik,-0.16339666666666597,-0.6315935342181959,0.5149091993721858,0.7175717381364638
4930526A20Rik,-0.14411666666666711,-1.4607689387919205,0.659487157711606,0.8120881465158853
4930529M08Rik,0.06259000000000015,0.4000850928900136,0.4950056734627342,0.7035663959163585
4930542C12Rik,-0.04311333333333378,-0.7451091055398661,0.5279322982632015,0.726589497765555
4930544G11Rik,-0.13016666666666676,-0.4512881996776887,0.498638419930694,0.706143342339708
4930547C10Rik,0.04612333333333396,0.3123311564530834,0.48979589594094325,0.6998541962015683
4930549C01Rik,0.09860666666666651,0.835127620701696,0.5397865119049062,0.734701648225255
4930550L24Rik,0.09175333333333313,0.9859745248699011,0.5626788136410356,0.7501191996216572
4930553J12Rik,-0.06165666666666647,-0.3712291925705852,0.4931509261180506,0.7022470549016568
4930591A17Rik,0.07478333333333431,0.23968150644139508,0.4864539353775013,0.697462497470295
